"TIME","GEO","NRG_BAL","SIEC","UNIT","Value"
"2013","Czechia","Inland consumption - calculated","Geothermal","Terajoule","0.000"
"2013","Czechia","Inland consumption - calculated","Solar thermal","Terajoule","572.670"
"2013","Czechia","Inland consumption - calculated","Primary solid biofuels","Terajoule","110,949.000"
"2013","Czechia","Inland consumption - calculated","Biogases","Terajoule","23,910.000"
"2013","Czechia","Inland consumption - calculated","Renewable municipal waste","Terajoule","3,472.000"
"2013","Denmark","Inland consumption - calculated","Geothermal","Terajoule","229.000"
"2013","Denmark","Inland consumption - calculated","Solar thermal","Terajoule","1,026.852"
"2013","Denmark","Inland consumption - calculated","Primary solid biofuels","Terajoule","101,697.922"
"2013","Denmark","Inland consumption - calculated","Biogases","Terajoule","4,587.832"
"2013","Denmark","Inland consumption - calculated","Renewable municipal waste","Terajoule","20,602.000"
"2013","Germany (until 1990 former territory of the FRG)","Inland consumption - calculated","Geothermal","Terajoule","6,192.000"
"2013","Germany (until 1990 former territory of the FRG)","Inland consumption - calculated","Solar thermal","Terajoule","24,123.000"
"2013","Germany (until 1990 former territory of the FRG)","Inland consumption - calculated","Primary solid biofuels","Terajoule","598,787.000"
"2013","Germany (until 1990 former territory of the FRG)","Inland consumption - calculated","Biogases","Terajoule","280,646.000"
"2013","Germany (until 1990 former territory of the FRG)","Inland consumption - calculated","Renewable municipal waste","Terajoule","122,530.000"
"2013","Estonia","Inland consumption - calculated","Geothermal","Terajoule","0.000"
"2013","Estonia","Inland consumption - calculated","Solar thermal","Terajoule","0.000"
"2013","Estonia","Inland consumption - calculated","Primary solid biofuels","Terajoule","33,203.000"
"2013","Estonia","Inland consumption - calculated","Biogases","Terajoule","302.000"
"2013","Estonia","Inland consumption - calculated","Renewable municipal waste","Terajoule","0.000"
"2013","Ireland","Inland consumption - calculated","Geothermal","Terajoule","0.000"
"2013","Ireland","Inland consumption - calculated","Solar thermal","Terajoule","422.977"
"2013","Ireland","Inland consumption - calculated","Primary solid biofuels","Terajoule","9,134.562"
"2013","Ireland","Inland consumption - calculated","Biogases","Terajoule","2,061.661"
"2013","Ireland","Inland consumption - calculated","Renewable municipal waste","Terajoule","2,040.631"
"2013","Greece","Inland consumption - calculated","Geothermal","Terajoule","480.600"
"2013","Greece","Inland consumption - calculated","Solar thermal","Terajoule","10,338.000"
"2013","Greece","Inland consumption - calculated","Primary solid biofuels","Terajoule","38,868.000"
"2013","Greece","Inland consumption - calculated","Biogases","Terajoule","3,704.000"
"2013","Greece","Inland consumption - calculated","Renewable municipal waste","Terajoule","0.000"
"2013","Spain","Inland consumption - calculated","Geothermal","Terajoule","8.069"
"2013","Spain","Inland consumption - calculated","Solar thermal","Terajoule","87,560.016"
"2013","Spain","Inland consumption - calculated","Primary solid biofuels","Terajoule","224,214.000"
"2013","Spain","Inland consumption - calculated","Biogases","Terajoule","20,072.000"
"2013","Spain","Inland consumption - calculated","Renewable municipal waste","Terajoule","8,362.000"
"2013","France","Inland consumption - calculated","Geothermal","Terajoule","12,728.450"
"2013","France","Inland consumption - calculated","Solar thermal","Terajoule","6,077.768"
"2013","France","Inland consumption - calculated","Primary solid biofuels","Terajoule","441,234.566"
"2013","France","Inland consumption - calculated","Biogases","Terajoule","24,013.607"
"2013","France","Inland consumption - calculated","Renewable municipal waste","Terajoule","52,803.124"
"2013","Croatia","Inland consumption - calculated","Geothermal","Terajoule","286.000"
"2013","Croatia","Inland consumption - calculated","Solar thermal","Terajoule","345.000"
"2013","Croatia","Inland consumption - calculated","Primary solid biofuels","Terajoule","51,574.000"
"2013","Croatia","Inland consumption - calculated","Biogases","Terajoule","693.000"
"2013","Croatia","Inland consumption - calculated","Renewable municipal waste","Terajoule","0.000"
"2013","Italy","Inland consumption - calculated","Geothermal","Terajoule","210,020.000"
"2013","Italy","Inland consumption - calculated","Solar thermal","Terajoule","7,042.000"
"2013","Italy","Inland consumption - calculated","Primary solid biofuels","Terajoule","370,451.000"
"2013","Italy","Inland consumption - calculated","Biogases","Terajoule","76,013.000"
"2013","Italy","Inland consumption - calculated","Renewable municipal waste","Terajoule","34,651.000"
"2013","Cyprus","Inland consumption - calculated","Geothermal","Terajoule","0.000"
"2013","Cyprus","Inland consumption - calculated","Solar thermal","Terajoule","2,751.000"
"2013","Cyprus","Inland consumption - calculated","Primary solid biofuels","Terajoule","468.000"
"2013","Cyprus","Inland consumption - calculated","Biogases","Terajoule","466.000"
"2013","Cyprus","Inland consumption - calculated","Renewable municipal waste","Terajoule","150.000"
"2013","Latvia","Inland consumption - calculated","Geothermal","Terajoule","0.000"
"2013","Latvia","Inland consumption - calculated","Solar thermal","Terajoule","0.000"
"2013","Latvia","Inland consumption - calculated","Primary solid biofuels","Terajoule","53,164.000"
"2013","Latvia","Inland consumption - calculated","Biogases","Terajoule","2,695.000"
"2013","Latvia","Inland consumption - calculated","Renewable municipal waste","Terajoule","0.000"
"2013","Lithuania","Inland consumption - calculated","Geothermal","Terajoule","70.000"
"2013","Lithuania","Inland consumption - calculated","Solar thermal","Terajoule","0.000"
"2013","Lithuania","Inland consumption - calculated","Primary solid biofuels","Terajoule","42,951.000"
"2013","Lithuania","Inland consumption - calculated","Biogases","Terajoule","649.000"
"2013","Lithuania","Inland consumption - calculated","Renewable municipal waste","Terajoule","461.000"
