TIME,GEO,SIEC,PLANT_TEC,UNIT,Value,rank
2012,Euro area - 19 countries  (from 2015),Hydro,Net maximum electrical capacity,Megawatt,112043.91,6
2012,Euro area - 19 countries  (from 2015),Hydro,Net maximum electrical capacity,Megawatt,112043.91,7
2012,Euro area - 19 countries  (from 2015),Hydro,Net maximum electrical capacity,Megawatt,112043.91,8
2012,Euro area - 19 countries  (from 2015),Hydro,Net maximum electrical capacity,Megawatt,112043.91,9
2012,Euro area - 19 countries  (from 2015),Hydro,Net maximum electrical capacity,Megawatt,112043.91,10
2012,Euro area - 19 countries  (from 2015),Wind,Net maximum electrical capacity,Megawatt,83554.2,0
2012,Euro area - 19 countries  (from 2015),Wind,Net maximum electrical capacity,Megawatt,83554.2,1
2012,Euro area - 19 countries  (from 2015),Wind,Net maximum electrical capacity,Megawatt,83554.2,2
2012,Euro area - 19 countries  (from 2015),Wind,Net maximum electrical capacity,Megawatt,83554.2,3
2012,Euro area - 19 countries  (from 2015),Wind,Net maximum electrical capacity,Megawatt,83554.2,4
2012,Euro area - 19 countries  (from 2015),Wind,Net maximum electrical capacity,Megawatt,83554.2,5
2012,Euro area - 19 countries  (from 2015),Wind,Net maximum electrical capacity,Megawatt,83554.2,6
2012,Euro area - 19 countries  (from 2015),Wind,Net maximum electrical capacity,Megawatt,83554.2,7
2012,Euro area - 19 countries  (from 2015),Solar,Net maximum electrical capacity,Megawatt,67613.13,0
2012,Euro area - 19 countries  (from 2015),Solar,Net maximum electrical capacity,Megawatt,67613.13,1
2012,Euro area - 19 countries  (from 2015),Solar,Net maximum electrical capacity,Megawatt,67613.13,2
2012,Euro area - 19 countries  (from 2015),Solar,Net maximum electrical capacity,Megawatt,67613.13,3
2012,Euro area - 19 countries  (from 2015),Solar,Net maximum electrical capacity,Megawatt,67613.13,4
2012,Euro area - 19 countries  (from 2015),Solar,Net maximum electrical capacity,Megawatt,67613.13,5
2012,Euro area - 19 countries  (from 2015),Solid Biofuels,Net maximum electrical capacity,Megawatt,7681.47,0
2012,Belgium,Hydro,Net maximum electrical capacity,Megawatt,1427,0
2012,Belgium,Wind,Net maximum electrical capacity,Megawatt,1370,0
2012,Belgium,Solar,Net maximum electrical capacity,Megawatt,2646.6,0
