"TIME","GEO","PLANT_TEC","UNIT","Value"
"2013","Slovenia","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2013","Slovenia","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2013","Slovakia","Production of fresh fuel elements (tHM)","Tonnes of heavy metal",":"
"2013","Slovakia","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2013","Slovakia","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2013","Finland","Production of fresh fuel elements (tHM)","Tonnes of heavy metal",":"
"2013","Finland","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2013","Finland","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2013","Sweden","Production of fresh fuel elements (tHM)","Tonnes of heavy metal","552.000"
"2013","Sweden","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2013","Sweden","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2013","Iceland","Production of fresh fuel elements (tHM)","Tonnes of heavy metal","0.000"
"2013","Iceland","Production of MOX fuel elements (tHM)","Tonnes of heavy metal","0.000"
"2013","Iceland","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal","0.000"
"2013","Liechtenstein","Production of fresh fuel elements (tHM)","Tonnes of heavy metal",":"
"2013","Liechtenstein","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2013","Liechtenstein","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2013","Norway","Production of fresh fuel elements (tHM)","Tonnes of heavy metal",":"
"2013","Norway","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2013","Norway","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2013","United Kingdom","Production of fresh fuel elements (tHM)","Tonnes of heavy metal","176.000"
"2013","United Kingdom","Production of MOX fuel elements (tHM)","Tonnes of heavy metal","0.000"
"2013","United Kingdom","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal","823.000"
"2013","Montenegro","Production of fresh fuel elements (tHM)","Tonnes of heavy metal",":"
"2013","Montenegro","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2013","Montenegro","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2013","North Macedonia","Production of fresh fuel elements (tHM)","Tonnes of heavy metal",":"
"2013","North Macedonia","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2013","North Macedonia","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2013","Albania","Production of fresh fuel elements (tHM)","Tonnes of heavy metal","0.000"
"2013","Albania","Production of MOX fuel elements (tHM)","Tonnes of heavy metal","0.000"
"2013","Albania","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal","0.000"
"2013","Serbia","Production of fresh fuel elements (tHM)","Tonnes of heavy metal",":"
"2013","Serbia","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2013","Serbia","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2013","Turkey","Production of fresh fuel elements (tHM)","Tonnes of heavy metal",":"
"2013","Turkey","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2013","Turkey","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2013","Bosnia and Herzegovina","Production of fresh fuel elements (tHM)","Tonnes of heavy metal","0.000"
"2013","Bosnia and Herzegovina","Production of MOX fuel elements (tHM)","Tonnes of heavy metal","0.000"
"2013","Bosnia and Herzegovina","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal","0.000"
"2013","Kosovo (under United Nations Security Council Resolution 1244/99)","Production of fresh fuel elements (tHM)","Tonnes of heavy metal",":"
"2013","Kosovo (under United Nations Security Council Resolution 1244/99)","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2013","Kosovo (under United Nations Security Council Resolution 1244/99)","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2013","Moldova","Production of fresh fuel elements (tHM)","Tonnes of heavy metal",":"
"2013","Moldova","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2013","Moldova","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2013","Ukraine","Production of fresh fuel elements (tHM)","Tonnes of heavy metal",":"
"2013","Ukraine","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2013","Ukraine","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2013","Georgia","Production of fresh fuel elements (tHM)","Tonnes of heavy metal","0.000"
"2013","Georgia","Production of MOX fuel elements (tHM)","Tonnes of heavy metal","0.000"
"2013","Georgia","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal","0.000"
"2014","European Union - 27 countries (from 2020)","Production of fresh fuel elements (tHM)","Tonnes of heavy metal","1,946.800"
"2014","European Union - 27 countries (from 2020)","Production of MOX fuel elements (tHM)","Tonnes of heavy metal","147.900"
"2014","European Union - 27 countries (from 2020)","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal","1,217.000"
"2014","Euro area - 19 countries  (from 2015)","Production of fresh fuel elements (tHM)","Tonnes of heavy metal","1,275.500"
"2014","Euro area - 19 countries  (from 2015)","Production of MOX fuel elements (tHM)","Tonnes of heavy metal","147.900"
"2014","Euro area - 19 countries  (from 2015)","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal","1,217.000"
"2014","Belgium","Production of fresh fuel elements (tHM)","Tonnes of heavy metal","0.000"
"2014","Belgium","Production of MOX fuel elements (tHM)","Tonnes of heavy metal","13.900"
"2014","Belgium","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal","0.000"
