Continent,Year,Source,Value
North America,1985,Renewables,5017.9155
North America,1986,Fossil,53394.117
North America,1986,Nuclear,3605.8435
North America,1986,Renewables,5061.755
North America,1987,Fossil,54643.45
North America,1987,Nuclear,3907.0706
North America,1987,Renewables,4763.3125
North America,1988,Fossil,56286.742
North America,1988,Nuclear,4418.404
North America,1988,Renewables,4466.428
North America,1989,Fossil,56778.125
North America,1989,Nuclear,4354.11
North America,1989,Renewables,4702.766
North America,1990,Fossil,55441.56
North America,1990,Nuclear,4594.537
North America,1990,Renewables,4902.489
North America,1991,Fossil,54241.344
North America,1991,Nuclear,4862.881
North America,1991,Renewables,4897.3657
North America,1992,Fossil,54486.594
North America,1992,Nuclear,4799.552
North America,1992,Renewables,4696.45
North America,1993,Fossil,54647.62
North America,1993,Nuclear,4760.535
North America,1993,Renewables,4878.889
North America,1994,Fossil,55137.098
North America,1994,Nuclear,4974.188
North America,1994,Renewables,4677.686
North America,1995,Fossil,55032.05
North America,1995,Nuclear,5084.104
North America,1995,Renewables,5031.821
North America,1996,Fossil,56028.855
North America,1996,Nuclear,4987.941
North America,1996,Renewables,5346.8223
North America,1997,Fossil,56160.906
North America,1997,Nuclear,4578.9175
North America,1997,Renewables,5278.822
North America,1998,Fossil,55910.332
North America,1998,Nuclear,4728.501
North America,1998,Renewables,4889.6514
North America,1999,Fossil,55919.426
North America,1999,Nuclear,5022.4404
North America,1999,Renewables,4951.32
North America,2000,Fossil,56940.75
North America,2000,Nuclear,5099.535
North America,2000,Renewables,4711.0938
North America,2001,Fossil,55329.94
North America,2001,Nuclear,5120.1953
North America,2001,Renewables,4092.1963
North America,2002,Fossil,55372.535
North America,2002,Nuclear,5094.1787
North America,2002,Renewables,4456.5854
North America,2003,Fossil,55194.676
North America,2003,Nuclear,4911.21
North America,2003,Renewables,4385.6416
North America,2004,Fossil,55730.094
North America,2004,Nuclear,5044.122
North America,2004,Renewables,4374.2134
North America,2005,Fossil,55411.152
North America,2005,Nuclear,4937.635
North America,2005,Renewables,4524.36
North America,2006,Fossil,54310.676
North America,2006,Nuclear,4913.4453
North America,2006,Renewables,4640.1978
North America,2007,Fossil,54705.754
North America,2007,Nuclear,4908.5796
North America,2007,Renewables,4527.1504
North America,2008,Fossil,52578.79
North America,2008,Nuclear,4834.4023
North America,2008,Renewables,4837.8013
North America,2009,Fossil,49155.47
North America,2009,Nuclear,4690.39
North America,2009,Renewables,4934.9756
North America,2010,Fossil,50230.76
North America,2010,Nuclear,4636.511
North America,2010,Renewables,4971.4116
North America,2011,Fossil,49210.906
North America,2011,Nuclear,4510.16
North America,2011,Renewables,5520.442
North America,2012,Fossil,47719.86
North America,2012,Nuclear,4331.7896
North America,2012,Renewables,5392.8203
North America,2013,Fossil,48252.035
North America,2013,Nuclear,4413.175
North America,2013,Renewables,5571.3916
North America,2014,Fossil,48131.32
North America,2014,Nuclear,4391.8335
North America,2014,Renewables,5618.468
North America,2015,Fossil,47220.598
North America,2015,Nuclear,4309.67
North America,2015,Renewables,5658.0825
North America,2016,Fossil,46306.75
North America,2016,Nuclear,4278.673
North America,2016,Renewables,6010.2188
North America,2017,Fossil,45831.78
North America,2017,Nuclear,4212.467
North America,2017,Renewables,6377.406
